GEO_NAME,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Kelowna,8985.0,11110.0,11075.0,13605.0,14435.0,14715.0,14765.0,13185.0,12870.0,10515.0,13620.0,16125.0,17005.0,15050.0,13115.0,9065.0,6405.0,13045.0,58105.0,22700.0,339515.0,70750.0,182660.0,4290.0,247410.0,157450.0,22265.0,32970.0,21395.0,2585.0,9045.0,4235.0,175.0,5955.0,4605.0,46335.0,20960.0,39180.0,28835.0,24570.0,21275.0,17455.0,13265.0,10190.0,7780.0,5855.0,13860.0
Kenora,695.0,825.0,745.0,790.0,960.0,1000.0,890.0,915.0,875.0,770.0,890.0,1165.0,1260.0,1025.0,845.0,505.0,375.0,865.0,3845.0,2060.0,20195.0,1415.0,13855.0,115.0,16045.0,11025.0,1520.0,1995.0,715.0,160.0,245.0,90.0,15.0,85.0,175.0,5020.0,1245.0,2675.0,1505.0,1395.0,1330.0,1385.0,1105.0,885.0,645.0,460.0,755.0
Kentville,1095.0,1410.0,1415.0,1460.0,1405.0,1525.0,1460.0,1615.0,1625.0,1340.0,1875.0,2170.0,2255.0,1975.0,1740.0,1170.0,710.0,1375.0,6150.0,4050.0,39485.0,3280.0,24830.0,370.0,29655.0,19285.0,2670.0,3940.0,1835.0,10.0,555.0,395.0,30.0,100.0,850.0,8160.0,3060.0,2340.0,4125.0,3235.0,2815.0,1995.0,1340.0,1025.0,790.0,540.0,1915.0
Kingston,7635.0,8810.0,9225.0,11755.0,12155.0,11685.0,10835.0,10110.0,9550.0,8365.0,10595.0,12720.0,12145.0,10990.0,9710.0,6840.0,4675.0,9495.0,41760.0,16880.0,261260.0,45040.0,144460.0,3320.0,181660.0,131385.0,17545.0,22605.0,9925.0,9880.0,2395.0,315.0,145.0,4605.0,4580.0,41665.0,16470.0,29560.0,19995.0,17770.0,15570.0,13050.0,10830.0,8410.0,6265.0,5050.0,10320.0
Kitchener - Cambridge - Waterloo,30730.0,34590.0,34735.0,41905.0,45370.0,43105.0,40825.0,37315.0,36335.0,33275.0,36440.0,37915.0,33595.0,27730.0,23265.0,16090.0,11070.0,23110.0,130950.0,74680.0,816065.0,337740.0,399245.0,22250.0,588240.0,409645.0,72385.0,60515.0,29035.0,28685.0,6240.0,250.0,300.0,25590.0,12905.0,116045.0,52140.0,100930.0,66200.0,55525.0,50035.0,43130.0,33670.0,25610.0,19165.0,15225.0,37945.0
Lachute,670.0,690.0,650.0,605.0,745.0,790.0,725.0,770.0,680.0,640.0,795.0,1180.0,1185.0,1115.0,920.0,855.0,515.0,1150.0,2975.0,3410.0,17280.0,695.0,13030.0,15.0,14795.0,12190.0,1120.0,1810.0,2255.0,0.0,675.0,5.0,60.0,115.0,195.0,3225.0,1685.0,810.0,2405.0,1760.0,1400.0,1065.0,745.0,425.0,325.0,210.0,680.0
Lacombe,750.0,980.0,875.0,760.0,725.0,860.0,930.0,850.0,790.0,900.0,740.0,890.0,830.0,755.0,630.0,445.0,315.0,745.0,3145.0,1810.0,17575.0,3830.0,11410.0,100.0,13770.0,8610.0,1565.0,1595.0,695.0,0.0,110.0,365.0,15.0,255.0,460.0,3285.0,1080.0,2220.0,1595.0,1205.0,1020.0,905.0,785.0,635.0,465.0,390.0,835.0
Ladysmith,600.0,795.0,730.0,575.0,645.0,735.0,865.0,805.0,755.0,760.0,970.0,1210.0,1405.0,1515.0,1340.0,845.0,500.0,925.0,4005.0,2025.0,22605.0,3520.0,13440.0,80.0,18545.0,9860.0,1480.0,2660.0,395.0,0.0,210.0,325.0,40.0,255.0,280.0,4995.0,1560.0,2120.0,2055.0,1755.0,1525.0,1170.0,900.0,665.0,525.0,385.0,1205.0
Lethbridge,7450.0,8090.0,7380.0,9255.0,8915.0,8835.0,8550.0,7725.0,6920.0,8005.0,6545.0,7245.0,7560.0,6675.0,5480.0,3805.0,2595.0,5605.0,30820.0,15915.0,159945.0,41445.0,101375.0,1735.0,125055.0,85015.0,13555.0,14540.0,5625.0,825.0,3105.0,1295.0,20.0,2725.0,2750.0,32300.0,9465.0,18295.0,15985.0,12280.0,10605.0,8820.0,7180.0,5665.0,4085.0,3295.0,6835.0
Lloydminster,2545.0,2815.0,2485.0,2155.0,2280.0,2850.0,3120.0,2870.0,2375.0,2790.0,2050.0,2085.0,1880.0,1485.0,1055.0,675.0,465.0,1040.0,9120.0,4975.0,44245.0,12150.0,31030.0,270.0,36285.0,23350.0,4675.0,3485.0,2385.0,105.0,110.0,435.0,5.0,1095.0,335.0,9420.0,2340.0,7000.0,3445.0,3325.0,3070.0,2580.0,2040.0,1675.0,1250.0,1075.0,2095.0
Lloydminster (Alberta part),1295.0,1465.0,1345.0,1040.0,1075.0,1435.0,1595.0,1545.0,1310.0,1420.0,1185.0,1205.0,1085.0,890.0,660.0,440.0,320.0,855.0,4615.0,2510.0,25500.0,5445.0,16905.0,185.0,19740.0,12770.0,2505.0,1955.0,1570.0,40.0,65.0,205.0,0.0,325.0,215.0,5225.0,1225.0,4665.0,1905.0,1735.0,1495.0,1270.0,1070.0,880.0,685.0,605.0,1105.0
Lloydminster (Saskatchewan part),1250.0,1355.0,1135.0,1120.0,1205.0,1415.0,1525.0,1330.0,1065.0,1365.0,865.0,875.0,800.0,595.0,395.0,235.0,145.0,195.0,4505.0,2465.0,18740.0,6690.0,14120.0,90.0,16565.0,10580.0,2170.0,1525.0,815.0,70.0,40.0,230.0,5.0,770.0,120.0,4200.0,1115.0,2330.0,1545.0,1590.0,1570.0,1315.0,970.0,790.0,565.0,470.0,995.0
London,27030.0,31965.0,30980.0,36875.0,39980.0,37535.0,36210.0,33440.0,32250.0,30720.0,33100.0,37505.0,35720.0,30440.0,26330.0,18090.0,12260.0,26235.0,124310.0,66745.0,788290.0,265745.0,400620.0,19560.0,545485.0,406905.0,61625.0,60840.0,22505.0,38340.0,5250.0,585.0,240.0,24860.0,8205.0,122265.0,53035.0,79965.0,67010.0,56225.0,50220.0,41540.0,31550.0,23320.0,16655.0,12690.0,34800.0
Matane,645.0,905.0,845.0,845.0,740.0,865.0,925.0,1090.0,1015.0,820.0,970.0,1495.0,1830.0,1720.0,1545.0,1060.0,605.0,1110.0,3470.0,3995.0,27780.0,500.0,17520.0,290.0,22495.0,14125.0,1535.0,2905.0,1995.0,10.0,570.0,195.0,40.0,100.0,395.0,5860.0,2265.0,1385.0,3085.0,2180.0,2130.0,1560.0,1015.0,685.0,515.0,320.0,975.0
Medicine Hat,3770.0,4950.0,4430.0,4095.0,4015.0,4780.0,5280.0,5205.0,4560.0,4580.0,4545.0,5240.0,5680.0,5100.0,3835.0,2610.0,1770.0,3870.0,20130.0,11510.0,95800.0,17210.0,66665.0,700.0,80680.0,51570.0,7965.0,10225.0,5365.0,230.0,500.0,1175.0,30.0,1755.0,1630.0,21370.0,5945.0,12670.0,10125.0,8070.0,6795.0,5280.0,4390.0,3225.0,2385.0,2010.0,4455.0
Midland,1075.0,1195.0,1250.0,1300.0,1545.0,1680.0,1555.0,1365.0,1515.0,1215.0,1540.0,2240.0,2460.0,2315.0,2010.0,1445.0,955.0,2460.0,7670.0,4310.0,34260.0,4840.0,24020.0,80.0,29150.0,22540.0,2525.0,3865.0,1620.0,535.0,770.0,5.0,80.0,540.0,470.0,7805.0,3185.0,2865.0,4210.0,3280.0,2575.0,2115.0,1555.0,1145.0,705.0,550.0,1550.0
Miramichi,1020.0,1365.0,1355.0,1385.0,1320.0,1325.0,1385.0,1520.0,1860.0,1305.0,1990.0,2260.0,2315.0,2335.0,2015.0,1245.0,855.0,1470.0,7540.0,3855.0,37930.0,2065.0,26065.0,110.0,29305.0,20735.0,2680.0,3975.0,1460.0,0.0,190.0,850.0,20.0,55.0,415.0,9315.0,2925.0,2095.0,4235.0,3490.0,2960.0,2155.0,1545.0,1110.0,895.0,610.0,1715.0
Moncton,7020.0,8915.0,8220.0,9595.0,9955.0,10305.0,11085.0,10965.0,10905.0,8550.0,10170.0,10975.0,10390.0,9555.0,8420.0,5570.0,3535.0,7190.0,37305.0,18735.0,229580.0,35205.0,136130.0,4775.0,171985.0,112810.0,16995.0,20750.0,14635.0,1305.0,3280.0,2675.0,140.0,2240.0,6875.0,36025.0,14510.0,16845.0,20150.0,19060.0,17400.0,12830.0,9045.0,6515.0,4975.0,3455.0,9275.0
Montréal,218830.0,254360.0,227955.0,257910.0,291650.0,292510.0,298010.0,306385.0,280350.0,248540.0,274265.0,292705.0,275775.0,229190.0,195680.0,145490.0,98200.0,207860.0,733660.0,559410.0,7012260.0,2367825.0,3021825.0,161680.0,4523005.0,3296145.0,491220.0,444405.0,758875.0,183500.0,150110.0,4370.0,6420.0,59765.0,89790.0,582875.0,393285.0,644570.0,557005.0,438305.0,400670.0,323005.0,242085.0,182815.0,146245.0,103945.0,258165.0
Moose Jaw,1755.0,2295.0,2000.0,1820.0,1960.0,2290.0,2385.0,2225.0,1970.0,2145.0,1860.0,2330.0,2525.0,2250.0,1790.0,1190.0,915.0,2315.0,9525.0,5025.0,43345.0,7935.0,30475.0,570.0,34780.0,25405.0,3540.0,4255.0,2245.0,640.0,360.0,265.0,80.0,445.0,430.0,10750.0,3025.0,5540.0,4230.0,3570.0,3280.0,2420.0,1955.0,1480.0,1140.0,970.0,1995.0
Nanaimo,4660.0,6070.0,5430.0,6330.0,6920.0,7320.0,7635.0,6795.0,6580.0,5660.0,7095.0,8150.0,8645.0,8645.0,7485.0,5195.0,3400.0,6875.0,29585.0,13200.0,169185.0,38370.0,93330.0,1885.0,123600.0,86760.0,10860.0,16215.0,8270.0,1390.0,6265.0,1560.0,100.0,1985.0,2200.0,27575.0,11035.0,16005.0,15230.0,13295.0,11620.0,8990.0,6730.0,4980.0,3790.0,2810.0,7200.0
Nelson,735.0,1055.0,910.0,765.0,1125.0,1330.0,1335.0,1410.0,1390.0,890.0,1205.0,1250.0,1455.0,1455.0,1215.0,705.0,425.0,930.0,4145.0,1655.0,32220.0,5805.0,15720.0,425.0,20825.0,14595.0,1805.0,2655.0,1050.0,0.0,780.0,370.0,120.0,265.0,320.0,5595.0,1820.0,2725.0,2690.0,2280.0,1795.0,1490.0,1070.0,865.0,615.0,520.0,1155.0
New Glasgow,1300.0,1945.0,1830.0,1695.0,1590.0,1650.0,1745.0,2030.0,2145.0,1650.0,2365.0,2815.0,2940.0,2785.0,2465.0,1540.0,950.0,1880.0,8620.0,5670.0,46605.0,2310.0,32645.0,155.0,35585.0,26510.0,3265.0,4715.0,1940.0,10.0,350.0,815.0,20.0,435.0,695.0,11220.0,3805.0,3030.0,5245.0,3980.0,3715.0,2710.0,1795.0,1250.0,885.0,685.0,2335.0
Norfolk,3165.0,3490.0,3465.0,3190.0,3345.0,3695.0,3685.0,3470.0,3415.0,3640.0,4140.0,5405.0,5955.0,5730.0,4730.0,3205.0,1930.0,3710.0,17690.0,11880.0,83635.0,14965.0,58905.0,245.0,76565.0,43920.0,7265.0,10030.0,1890.0,385.0,570.0,130.0,90.0,945.0,770.0,22815.0,7335.0,8350.0,8895.0,7145.0,6365.0,5435.0,4115.0,3035.0,2275.0,1705.0,4060.0
North Battleford,1220.0,1310.0,1275.0,1085.0,1095.0,1255.0,1300.0,1205.0,1085.0,1290.0,955.0,1195.0,1290.0,1170.0,890.0,640.0,470.0,1295.0,4700.0,3075.0,23100.0,5710.0,16315.0,280.0,17925.0,14550.0,1940.0,2080.0,1195.0,150.0,115.0,235.0,35.0,245.0,270.0,5620.0,1560.0,2440.0,2280.0,1910.0,1760.0,1500.0,1110.0,875.0,625.0,525.0,1030.0
North Bay,3115.0,3735.0,3720.0,4100.0,4225.0,4440.0,4420.0,4015.0,4205.0,3580.0,4485.0,5935.0,5870.0,4870.0,4145.0,2835.0,2090.0,3900.0,16385.0,10105.0,104100.0,7310.0,66260.0,535.0,76900.0,53390.0,7075.0,9895.0,4310.0,2080.0,1665.0,170.0,70.0,2105.0,2215.0,18575.0,7690.0,10540.0,9350.0,7570.0,6730.0,5460.0,4425.0,3225.0,2300.0,1760.0,4070.0
Okotoks,1650.0,2710.0,2490.0,1490.0,1165.0,1620.0,2135.0,2400.0,2405.0,2215.0,2030.0,1790.0,1800.0,1515.0,1270.0,815.0,450.0,870.0,7455.0,2935.0,41375.0,9325.0,25925.0,100.0,32625.0,16930.0,4365.0,3180.0,955.0,5.0,110.0,110.0,5.0,645.0,515.0,8140.0,2120.0,8280.0,2810.0,2365.0,2020.0,1765.0,1550.0,1255.0,1065.0,980.0,2015.0
Orillia,1550.0,1570.0,1600.0,1690.0,2175.0,2275.0,1970.0,1680.0,1720.0,1525.0,1900.0,2460.0,2620.0,2335.0,2110.0,1530.0,1210.0,2980.0,8565.0,5375.0,42710.0,6710.0,28970.0,185.0,33145.0,28045.0,2960.0,4220.0,2760.0,920.0,905.0,170.0,30.0,1245.0,360.0,8035.0,3550.0,3460.0,5020.0,4090.0,3370.0,2645.0,1860.0,1270.0,915.0,650.0,1705.0
Oshawa,23510.0,27125.0,25290.0,24420.0,25525.0,28640.0,29950.0,28225.0,27620.0,26210.0,27570.0,30260.0,25535.0,20145.0,17280.0,11715.0,7865.0,16845.0,98955.0,49265.0,578320.0,204780.0,315710.0,3880.0,420560.0,288325.0,56650.0,38710.0,11200.0,11415.0,5425.0,80.0,195.0,15705.0,7790.0,97240.0,36915.0,83320.0,45570.0,37380.0,34185.0,28760.0,22985.0,18935.0,14755.0,12555.0,26440.0
Ottawa - Gatineau,74165.0,90350.0,85865.0,95515.0,101490.0,101450.0,101965.0,97820.0,96800.0,86825.0,97960.0,107175.0,97735.0,80115.0,67345.0,45455.0,29605.0,61320.0,283270.0,154760.0,2395865.0,726275.0,1115495.0,35160.0,1554210.0,1076165.0,175785.0,165655.0,87770.0,84155.0,16795.0,1480.0,845.0,98330.0,43225.0,272125.0,119405.0,365265.0,147010.0,122850.0,112950.0,103025.0,93830.0,78370.0,65490.0,52665.0,88990.0
Ottawa - Gatineau (Ontario part),55070.0,67655.0,66645.0,75880.0,78860.0,77695.0,77215.0,72930.0,73650.0,64320.0,74835.0,81190.0,73085.0,60450.0,52025.0,35170.0,23545.0,49590.0,220265.0,104410.0,1852125.0,614350.0,819935.0,29800.0,1172180.0,820265.0,136265.0,126175.0,47530.0,77160.0,8440.0,1210.0,570.0,89915.0,24265.0,204485.0,91435.0,303880.0,110570.0,91940.0,82245.0,74965.0,68800.0,58635.0,49825.0,41080.0,70840.0
Ottawa - Gatineau (Quebec part),19095.0,22695.0,19220.0,19635.0,22630.0,23755.0,24750.0,24895.0,23150.0,22505.0,23125.0,25985.0,24650.0,19665.0,15325.0,10280.0,6065.0,11725.0,63005.0,50350.0,543725.0,111940.0,295560.0,5360.0,382015.0,255895.0,39510.0,39485.0,40240.0,6995.0,8355.0,270.0,275.0,8405.0,18960.0,67640.0,27965.0,61370.0,36445.0,30910.0,30705.0,28055.0,25025.0,19735.0,15665.0,11580.0,18150.0
Owen Sound,1400.0,1655.0,1610.0,1590.0,1710.0,1845.0,1810.0,1740.0,1665.0,1605.0,1935.0,2565.0,2785.0,2550.0,2290.0,1570.0,1075.0,2590.0,8575.0,4960.0,42790.0,5095.0,29410.0,125.0,35405.0,23845.0,3165.0,4720.0,2770.0,735.0,290.0,165.0,30.0,725.0,435.0,9240.0,3635.0,4210.0,4595.0,3810.0,3275.0,2490.0,1890.0,1330.0,865.0,705.0,1850.0
Parksville,700.0,970.0,1000.0,820.0,825.0,920.0,1135.0,1160.0,1270.0,985.0,1455.0,2185.0,3040.0,3605.0,4075.0,3100.0,1965.0,3690.0,8285.0,3050.0,50925.0,11105.0,24565.0,125.0,40050.0,19500.0,2130.0,6955.0,1335.0,70.0,220.0,490.0,25.0,1170.0,850.0,10610.0,3415.0,4205.0,4855.0,3955.0,3405.0,2590.0,1905.0,1425.0,960.0,695.0,1655.0
Pembroke,1170.0,1220.0,1190.0,1250.0,1475.0,1435.0,1440.0,1240.0,1270.0,1175.0,1380.0,1900.0,1890.0,1655.0,1410.0,1050.0,755.0,1795.0,6470.0,3515.0,29945.0,2065.0,22060.0,50.0,24855.0,18025.0,2340.0,3160.0,1835.0,0.0,245.0,5.0,25.0,310.0,590.0,7245.0,2600.0,2885.0,3115.0,2575.0,2165.0,1900.0,1480.0,1070.0,750.0,565.0,1290.0
Penticton,1600.0,2045.0,2000.0,1890.0,2090.0,2475.0,2675.0,2530.0,2535.0,1850.0,2815.0,3760.0,4540.0,4105.0,3590.0,2700.0,1950.0,4460.0,13335.0,6160.0,67510.0,13300.0,39620.0,405.0,52620.0,35950.0,3800.0,7865.0,5210.0,1210.0,945.0,1220.0,135.0,1970.0,720.0,10525.0,4930.0,6075.0,7310.0,5825.0,4990.0,3840.0,2870.0,1935.0,1450.0,1000.0,2800.0
Petawawa,1400.0,1090.0,915.0,1365.0,2020.0,2050.0,1595.0,1125.0,920.0,1465.0,865.0,925.0,720.0,565.0,505.0,280.0,210.0,320.0,4800.0,1600.0,21825.0,2415.0,16125.0,100.0,19720.0,10820.0,2360.0,1955.0,635.0,0.0,45.0,5.0,15.0,840.0,455.0,4760.0,1170.0,2610.0,1225.0,1160.0,1145.0,1275.0,1635.0,1540.0,1060.0,615.0,815.0
Peterborough,5710.0,6585.0,6405.0,7975.0,8035.0,7890.0,7795.0,6775.0,6775.0,6635.0,7320.0,9230.0,9960.0,9245.0,8255.0,5760.0,3865.0,8830.0,32080.0,15720.0,184160.0,24045.0,113400.0,1615.0,136555.0,95610.0,13260.0,17035.0,6785.0,2590.0,2745.0,175.0,100.0,3195.0,875.0,36900.0,13705.0,18770.0,17400.0,14185.0,12505.0,9570.0,7100.0,5380.0,3910.0,3050.0,7575.0
Port Alberni,1000.0,1330.0,1245.0,1045.0,1245.0,1415.0,1445.0,1400.0,1425.0,1270.0,1605.0,2070.0,2305.0,2220.0,1885.0,1345.0,805.0,1490.0,6990.0,4805.0,32700.0,5030.0,22905.0,105.0,27830.0,19405.0,2225.0,3885.0,1310.0,140.0,435.0,495.0,20.0,515.0,305.0,8495.0,2970.0,2470.0,3770.0,3295.0,2580.0,1960.0,1465.0,1030.0,785.0,525.0,1645.0
Port Hope,685.0,795.0,800.0,745.0,925.0,1025.0,970.0,880.0,890.0,730.0,1060.0,1485.0,1465.0,1405.0,1355.0,920.0,540.0,1230.0,4890.0,2065.0,24155.0,3510.0,15150.0,15.0,19965.0,12075.0,1835.0,2605.0,770.0,450.0,90.0,5.0,15.0,425.0,270.0,5285.0,1745.0,3100.0,2100.0,1805.0,1675.0,1435.0,1090.0,865.0,595.0,475.0,980.0
Portage la Prairie,765.0,820.0,800.0,805.0,795.0,925.0,815.0,715.0,700.0,890.0,750.0,895.0,925.0,765.0,650.0,490.0,345.0,825.0,3265.0,2265.0,15325.0,3110.0,11420.0,225.0,12030.0,10525.0,1220.0,1450.0,795.0,255.0,40.0,80.0,5.0,345.0,140.0,3975.0,1150.0,1205.0,1705.0,1465.0,1250.0,1090.0,795.0,520.0,415.0,295.0,775.0
Powell River,625.0,815.0,825.0,630.0,695.0,830.0,975.0,925.0,905.0,785.0,1085.0,1440.0,1725.0,1720.0,1505.0,1015.0,670.0,1350.0,4685.0,2465.0,26270.0,4955.0,15090.0,100.0,20475.0,12710.0,1555.0,2955.0,950.0,20.0,320.0,340.0,30.0,105.0,255.0,6160.0,1995.0,1855.0,2695.0,2375.0,1860.0,1440.0,975.0,630.0,470.0,365.0,1195.0
Prince Albert,2990.0,3365.0,3115.0,3045.0,3220.0,3140.0,3015.0,2745.0,2500.0,3120.0,2500.0,2825.0,2735.0,2280.0,1895.0,1255.0,1030.0,1875.0,11570.0,6845.0,49725.0,9805.0,39120.0,515.0,39425.0,36725.0,4295.0,4410.0,3145.0,625.0,310.0,260.0,15.0,490.0,485.0,11735.0,3530.0,5840.0,5060.0,4320.0,3790.0,3180.0,2275.0,1765.0,1420.0,1265.0,2715.0
Prince George,4435.0,5535.0,5220.0,5835.0,6495.0,6365.0,6280.0,5560.0,5625.0,5130.0,5835.0,6375.0,6180.0,5070.0,4040.0,2690.0,1585.0,2450.0,24495.0,12575.0,115495.0,19380.0,77685.0,1730.0,93230.0,65240.0,9450.0,11050.0,4740.0,575.0,2505.0,2855.0,40.0,1850.0,1300.0,22935.0,7255.0,17530.0,9515.0,8630.0,7785.0,6715.0,5350.0,4470.0,3535.0,2985.0,5595.0
Prince Rupert,730.0,860.0,765.0,825.0,965.0,1040.0,810.0,785.0,845.0,755.0,915.0,935.0,1010.0,785.0,595.0,390.0,235.0,415.0,3655.0,2650.0,15120.0,3650.0,11380.0,295.0,13655.0,10295.0,1445.0,1425.0,905.0,60.0,635.0,100.0,15.0,310.0,230.0,3245.0,1180.0,3355.0,1515.0,1220.0,1045.0,880.0,715.0,525.0,485.0,415.0,1010.0
Quesnel,1010.0,1450.0,1215.0,1050.0,1205.0,1265.0,1350.0,1285.0,1410.0,1195.0,1590.0,1890.0,1995.0,1795.0,1500.0,890.0,565.0,915.0,6680.0,4615.0,26110.0,3570.0,21150.0,100.0,25725.0,15960.0,2245.0,3415.0,1065.0,0.0,205.0,1165.0,40.0,300.0,210.0,7170.0,2490.0,3560.0,3180.0,2585.0,2005.0,1425.0,1115.0,990.0,750.0,600.0,1685.0
Québec,40730.0,46460.0,40030.0,45550.0,54715.0,53945.0,55515.0,58155.0,49445.0,46410.0,48450.0,58135.0,59950.0,54795.0,48260.0,35640.0,21665.0,42935.0,137460.0,85230.0,1489085.0,135850.0,746855.0,15395.0,1015595.0,601730.0,85635.0,112725.0,145325.0,26870.0,22840.0,2815.0,1325.0,9380.0,22600.0,156805.0,67285.0,118985.0,94355.0,85525.0,88740.0,78375.0,59310.0,44215.0,34825.0,24790.0,35945.0
Red Deer,5405.0,6610.0,6170.0,6075.0,6475.0,7505.0,7900.0,7515.0,6520.0,6350.0,6030.0,6500.0,6600.0,5330.0,3865.0,2470.0,1795.0,3440.0,25680.0,12965.0,131220.0,41390.0,80665.0,840.0,97835.0,75230.0,11080.0,10890.0,8495.0,590.0,1480.0,1045.0,30.0,4075.0,3275.0,21515.0,6985.0,17170.0,12640.0,10165.0,9030.0,7270.0,5615.0,4260.0,3275.0,2775.0,5455.0
Regina,14880.0,16045.0,14405.0,15985.0,16530.0,18955.0,19715.0,17905.0,15230.0,16410.0,14005.0,15645.0,15010.0,12725.0,9560.0,6280.0,4555.0,10740.0,62195.0,26710.0,343170.0,120040.0,192745.0,6155.0,248630.0,173705.0,29330.0,26745.0,18660.0,4395.0,2220.0,495.0,45.0,6195.0,2715.0,65495.0,17615.0,47585.0,25145.0,22345.0,21325.0,18665.0,15445.0,12505.0,9970.0,8075.0,14305.0
Rimouski,2350.0,2805.0,2500.0,2880.0,3080.0,3055.0,3140.0,3345.0,2925.0,2745.0,2855.0,3865.0,4625.0,4575.0,3795.0,2500.0,1470.0,2900.0,9170.0,6490.0,94290.0,2890.0,50805.0,485.0,66640.0,39495.0,5055.0,7915.0,7360.0,490.0,1195.0,220.0,130.0,635.0,2280.0,13310.0,5415.0,5550.0,7220.0,6295.0,6100.0,4800.0,3355.0,2340.0,1835.0,1285.0,2500.0
Rivière-du-Loup,1335.0,1740.0,1550.0,1420.0,1560.0,1705.0,1740.0,1895.0,1745.0,1580.0,1555.0,2115.0,2375.0,2415.0,1990.0,1460.0,855.0,2020.0,4860.0,4385.0,49925.0,1175.0,27805.0,385.0,37300.0,21200.0,2930.0,4290.0,4315.0,45.0,680.0,140.0,115.0,185.0,820.0,7425.0,2915.0,2685.0,3915.0,3420.0,3420.0,2815.0,1960.0,1180.0,890.0,600.0,1300.0
Rouyn-Noranda,2305.0,2455.0,2135.0,2285.0,2810.0,2825.0,2760.0,2540.0,2360.0,2545.0,2505.0,3175.0,3285.0,2770.0,2170.0,1465.0,890.0,2090.0,6795.0,7365.0,66755.0,1870.0,40110.0,425.0,52265.0,28950.0,4335.0,5720.0,5655.0,55.0,1680.0,230.0,140.0,110.0,1115.0,10295.0,3825.0,7495.0,5080.0,4035.0,4115.0,3405.0,2610.0,1885.0,1600.0,1170.0,2035.0
Saguenay,7570.0,8455.0,7795.0,7910.0,9050.0,9320.0,9845.0,10280.0,8645.0,8530.0,8435.0,12105.0,14185.0,12680.0,10280.0,7270.0,4775.0,8875.0,26435.0,22045.0,286405.0,4920.0,154185.0,1650.0,203110.0,110225.0,15795.0,24650.0,17870.0,1050.0,9325.0,445.0,240.0,1660.0,5755.0,38465.0,16330.0,20475.0,20855.0,17060.0,17310.0,14615.0,10330.0,6870.0,5300.0,3400.0,8575.0
Saint John,5870.0,7465.0,7165.0,7295.0,7635.0,7765.0,7865.0,8175.0,8610.0,6870.0,8685.0,10550.0,10015.0,8850.0,7375.0,4760.0,2975.0,5365.0,34350.0,15415.0,183215.0,21145.0,118110.0,1815.0,137775.0,95010.0,14025.0,16975.0,11265.0,2155.0,3860.0,1760.0,130.0,2325.0,1270.0,33095.0,11995.0,17655.0,17195.0,14630.0,13490.0,9695.0,7195.0,5295.0,4215.0,3005.0,8400.0
Saint-Georges,1535.0,2160.0,1890.0,1665.0,1675.0,1815.0,2125.0,2455.0,2025.0,2070.0,2085.0,2640.0,2735.0,2495.0,2145.0,1605.0,860.0,1700.0,6455.0,6450.0,51800.0,1560.0,32810.0,565.0,39955.0,25810.0,3410.0,4560.0,3865.0,315.0,700.0,45.0,120.0,230.0,1745.0,9125.0,3775.0,2775.0,4895.0,3730.0,3970.0,3230.0,2225.0,1495.0,1080.0,625.0,1470.0
Saint-Hyacinthe,2725.0,3325.0,2925.0,3185.0,3470.0,3340.0,3415.0,3850.0,3270.0,3040.0,3450.0,4205.0,4455.0,4285.0,3745.0,2985.0,1950.0,4720.0,11775.0,11475.0,84530.0,11000.0,51915.0,1365.0,66270.0,47930.0,5320.0,7825.0,12890.0,145.0,2310.0,95.0,205.0,645.0,1565.0,10100.0,6075.0,4850.0,8920.0,6915.0,6680.0,5260.0,3625.0,2270.0,1685.0,1070.0,2670.0
Sainte-Agathe-des-Monts,780.0,980.0,765.0,660.0,780.0,905.0,1060.0,1260.0,1140.0,940.0,1140.0,1740.0,2115.0,1875.0,1565.0,1070.0,590.0,1070.0,3805.0,3160.0,32295.0,2425.0,18240.0,85.0,23280.0,15615.0,1590.0,3035.0,1590.0,5.0,1570.0,160.0,35.0,220.0,185.0,5900.0,2210.0,1845.0,3415.0,2570.0,2170.0,1550.0,1115.0,730.0,560.0,295.0,940.0
Sainte-Marie,720.0,840.0,680.0,615.0,640.0,775.0,820.0,910.0,770.0,785.0,730.0,900.0,1010.0,885.0,750.0,555.0,365.0,800.0,2360.0,1795.0,20530.0,750.0,12115.0,210.0,16180.0,8360.0,1465.0,1740.0,1095.0,5.0,150.0,70.0,10.0,125.0,850.0,3200.0,1125.0,1270.0,1595.0,1290.0,1410.0,1295.0,880.0,690.0,485.0,280.0,490.0
