GEO_NAME,COUNT_TOTAL,private_dwellings
Owen Sound,290,Apartment or flat in a duplex
Owen Sound,2770,Apartment in a building that has fewer than five storeys
Owen Sound,735,Apartment in a building that has five or more storeys
Owen Sound,30,Other single-attached house
Owen Sound,165,Movable dwelling
Collingwood,6300,Single-detached house
Collingwood,750,Semi-detached house
Collingwood,1385,Row house
Collingwood,250,Apartment or flat in a duplex
Collingwood,2010,Apartment in a building that has fewer than five storeys
Collingwood,450,Apartment in a building that has five or more storeys
Collingwood,25,Other single-attached house
Collingwood,0,Movable dwelling
Barrie,53395,Single-detached house
Barrie,2475,Semi-detached house
Barrie,7020,Row house
Barrie,4180,Apartment or flat in a duplex
Barrie,6895,Apartment in a building that has fewer than five storeys
Barrie,4430,Apartment in a building that has five or more storeys
Barrie,70,Other single-attached house
Barrie,75,Movable dwelling
Orillia,8035,Single-detached house
Orillia,360,Semi-detached house
Orillia,1245,Row house
Orillia,905,Apartment or flat in a duplex
Orillia,2760,Apartment in a building that has fewer than five storeys
Orillia,920,Apartment in a building that has five or more storeys
Orillia,30,Other single-attached house
Orillia,170,Movable dwelling
Midland,7805,Single-detached house
Midland,470,Semi-detached house
Midland,540,Row house
Midland,770,Apartment or flat in a duplex
Midland,1620,Apartment in a building that has fewer than five storeys
Midland,535,Apartment in a building that has five or more storeys
Midland,80,Other single-attached house
Midland,5,Movable dwelling
North Bay,18575,Single-detached house
North Bay,2215,Semi-detached house
North Bay,2105,Row house
North Bay,1665,Apartment or flat in a duplex
North Bay,4310,Apartment in a building that has fewer than five storeys
North Bay,2080,Apartment in a building that has five or more storeys
North Bay,70,Other single-attached house
North Bay,170,Movable dwelling
Greater Sudbury / Grand Sudbury,45025,Single-detached house
Greater Sudbury / Grand Sudbury,3295,Semi-detached house
Greater Sudbury / Grand Sudbury,2935,Row house
Greater Sudbury / Grand Sudbury,4485,Apartment or flat in a duplex
Greater Sudbury / Grand Sudbury,12130,Apartment in a building that has fewer than five storeys
Greater Sudbury / Grand Sudbury,4790,Apartment in a building that has five or more storeys
Greater Sudbury / Grand Sudbury,135,Other single-attached house
Greater Sudbury / Grand Sudbury,590,Movable dwelling
Elliot Lake,2625,Single-detached house
Elliot Lake,1100,Semi-detached house
Elliot Lake,605,Row house
Elliot Lake,50,Apartment or flat in a duplex
Elliot Lake,880,Apartment in a building that has fewer than five storeys
Elliot Lake,575,Apartment in a building that has five or more storeys
Elliot Lake,0,Other single-attached house
Elliot Lake,0,Movable dwelling
Timmins,11650,Single-detached house
Timmins,1185,Semi-detached house
Timmins,605,Row house
Timmins,1100,Apartment or flat in a duplex
Timmins,2480,Apartment in a building that has fewer than five storeys
Timmins,510,Apartment in a building that has five or more storeys
Timmins,85,Other single-attached house
Timmins,265,Movable dwelling
Sault Ste. Marie,22990,Single-detached house
Sault Ste. Marie,1825,Semi-detached house
Sault Ste. Marie,945,Row house
Sault Ste. Marie,1450,Apartment or flat in a duplex
Sault Ste. Marie,4970,Apartment in a building that has fewer than five storeys
Sault Ste. Marie,2060,Apartment in a building that has five or more storeys
Sault Ste. Marie,95,Other single-attached house
Sault Ste. Marie,80,Movable dwelling
Thunder Bay,37165,Single-detached house
Thunder Bay,2100,Semi-detached house
Thunder Bay,1495,Row house
Thunder Bay,2440,Apartment or flat in a duplex
Thunder Bay,7925,Apartment in a building that has fewer than five storeys
Thunder Bay,2575,Apartment in a building that has five or more storeys
Thunder Bay,120,Other single-attached house
Thunder Bay,400,Movable dwelling
Kenora,5020,Single-detached house
Kenora,175,Semi-detached house
Kenora,85,Row house
Kenora,245,Apartment or flat in a duplex
Kenora,715,Apartment in a building that has fewer than five storeys
Kenora,160,Apartment in a building that has five or more storeys
Kenora,15,Other single-attached house
Kenora,90,Movable dwelling
Winnipeg,199120,Single-detached house
Winnipeg,12395,Semi-detached house
Winnipeg,12290,Row house
Winnipeg,5600,Apartment or flat in a duplex
Winnipeg,57665,Apartment in a building that has fewer than five storeys
Winnipeg,41290,Apartment in a building that has five or more storeys
Winnipeg,310,Other single-attached house
Winnipeg,1655,Movable dwelling
Winkler,7945,Single-detached house
Winkler,690,Semi-detached house
Winkler,1025,Row house
Winkler,60,Apartment or flat in a duplex
Winkler,845,Apartment in a building that has fewer than five storeys
Winkler,350,Apartment in a building that has five or more storeys
Winkler,10,Other single-attached house
Winkler,440,Movable dwelling
Steinbach,3750,Single-detached house
Steinbach,620,Semi-detached house
Steinbach,290,Row house
Steinbach,255,Apartment or flat in a duplex
Steinbach,1495,Apartment in a building that has fewer than five storeys
Steinbach,255,Apartment in a building that has five or more storeys
Steinbach,5,Other single-attached house
Steinbach,165,Movable dwelling
Portage la Prairie,3975,Single-detached house
Portage la Prairie,140,Semi-detached house
Portage la Prairie,345,Row house
Portage la Prairie,40,Apartment or flat in a duplex
Portage la Prairie,795,Apartment in a building that has fewer than five storeys
Portage la Prairie,255,Apartment in a building that has five or more storeys
Portage la Prairie,5,Other single-attached house
Portage la Prairie,80,Movable dwelling
Brandon,12075,Single-detached house
Brandon,915,Semi-detached house
Brandon,1600,Row house
Brandon,530,Apartment or flat in a duplex
Brandon,5220,Apartment in a building that has fewer than five storeys
Brandon,725,Apartment in a building that has five or more storeys
Brandon,30,Other single-attached house
Brandon,1185,Movable dwelling
Thompson,2300,Single-detached house
Thompson,165,Semi-detached house
Thompson,435,Row house
Thompson,5,Apartment or flat in a duplex
Thompson,1175,Apartment in a building that has fewer than five storeys
Thompson,155,Apartment in a building that has five or more storeys
Thompson,5,Other single-attached house
Thompson,435,Movable dwelling
Regina,65495,Single-detached house
Regina,2715,Semi-detached house
Regina,6195,Row house
Regina,2220,Apartment or flat in a duplex
Regina,18660,Apartment in a building that has fewer than five storeys
Regina,4395,Apartment in a building that has five or more storeys
Regina,45,Other single-attached house
Regina,495,Movable dwelling
Yorkton,6310,Single-detached house
Yorkton,280,Semi-detached house
Yorkton,235,Row house
Yorkton,60,Apartment or flat in a duplex
Yorkton,1345,Apartment in a building that has fewer than five storeys
Yorkton,0,Apartment in a building that has five or more storeys
Yorkton,5,Other single-attached house
Yorkton,195,Movable dwelling
Moose Jaw,10750,Single-detached house
Moose Jaw,430,Semi-detached house
Moose Jaw,445,Row house
Moose Jaw,360,Apartment or flat in a duplex
Moose Jaw,2245,Apartment in a building that has fewer than five storeys
Moose Jaw,640,Apartment in a building that has five or more storeys
Moose Jaw,80,Other single-attached house
Moose Jaw,265,Movable dwelling
Swift Current,5360,Single-detached house
Swift Current,400,Semi-detached house
Swift Current,365,Row house
Swift Current,165,Apartment or flat in a duplex
Swift Current,1280,Apartment in a building that has fewer than five storeys
Swift Current,100,Apartment in a building that has five or more storeys
Swift Current,5,Other single-attached house
Swift Current,265,Movable dwelling
Saskatoon,73655,Single-detached house
Saskatoon,4605,Semi-detached house
Saskatoon,8260,Row house
Saskatoon,6800,Apartment or flat in a duplex
Saskatoon,26055,Apartment in a building that has fewer than five storeys
Saskatoon,4720,Apartment in a building that has five or more storeys
Saskatoon,55,Other single-attached house
Saskatoon,945,Movable dwelling
North Battleford,5620,Single-detached house
North Battleford,270,Semi-detached house
North Battleford,245,Row house
North Battleford,115,Apartment or flat in a duplex
North Battleford,1195,Apartment in a building that has fewer than five storeys
North Battleford,150,Apartment in a building that has five or more storeys
North Battleford,35,Other single-attached house
North Battleford,235,Movable dwelling
Prince Albert,11735,Single-detached house
Prince Albert,485,Semi-detached house
Prince Albert,490,Row house
Prince Albert,310,Apartment or flat in a duplex
Prince Albert,3145,Apartment in a building that has fewer than five storeys
Prince Albert,625,Apartment in a building that has five or more storeys
Prince Albert,15,Other single-attached house
Prince Albert,260,Movable dwelling
Estevan,3680,Single-detached house
Estevan,165,Semi-detached house
Estevan,155,Row house
Estevan,75,Apartment or flat in a duplex
Estevan,930,Apartment in a building that has fewer than five storeys
Estevan,45,Apartment in a building that has five or more storeys
Estevan,10,Other single-attached house
Estevan,280,Movable dwelling
Weyburn,3480,Single-detached house
Weyburn,140,Semi-detached house
Weyburn,110,Row house
Weyburn,55,Apartment or flat in a duplex
Weyburn,1055,Apartment in a building that has fewer than five storeys
Weyburn,115,Apartment in a building that has five or more storeys
Weyburn,5,Other single-attached house
Weyburn,135,Movable dwelling
Medicine Hat,21370,Single-detached house
Medicine Hat,1630,Semi-detached house
Medicine Hat,1755,Row house
Medicine Hat,500,Apartment or flat in a duplex
Medicine Hat,5365,Apartment in a building that has fewer than five storeys
Medicine Hat,230,Apartment in a building that has five or more storeys
Medicine Hat,30,Other single-attached house
Medicine Hat,1175,Movable dwelling
Brooks,2800,Single-detached house
Brooks,405,Semi-detached house
Brooks,560,Row house
Brooks,180,Apartment or flat in a duplex
Brooks,800,Apartment in a building that has fewer than five storeys
Brooks,0,Apartment in a building that has five or more storeys
Brooks,0,Other single-attached house
Brooks,395,Movable dwelling
Lethbridge,32300,Single-detached house
Lethbridge,2750,Semi-detached house
Lethbridge,2725,Row house
Lethbridge,3105,Apartment or flat in a duplex
Lethbridge,5625,Apartment in a building that has fewer than five storeys
Lethbridge,825,Apartment in a building that has five or more storeys
Lethbridge,20,Other single-attached house
Lethbridge,1295,Movable dwelling
Okotoks,8140,Single-detached house
Okotoks,515,Semi-detached house
Okotoks,645,Row house
Okotoks,110,Apartment or flat in a duplex
Okotoks,955,Apartment in a building that has fewer than five storeys
Okotoks,5,Apartment in a building that has five or more storeys
Okotoks,5,Other single-attached house
Okotoks,110,Movable dwelling
High River,2910,Single-detached house
High River,1035,Semi-detached house
High River,730,Row house
High River,105,Apartment or flat in a duplex
High River,725,Apartment in a building that has fewer than five storeys
High River,0,Apartment in a building that has five or more storeys
High River,5,Other single-attached house
High River,275,Movable dwelling
Calgary,320530,Single-detached house
Calgary,36290,Semi-detached house
Calgary,55260,Row house
Calgary,21405,Apartment or flat in a duplex
Calgary,86640,Apartment in a building that has fewer than five storeys
Calgary,40750,Apartment in a building that has five or more storeys
Calgary,315,Other single-attached house
Calgary,2255,Movable dwelling
Strathmore,3235,Single-detached house
Strathmore,700,Semi-detached house
Strathmore,560,Row house
Strathmore,60,Apartment or flat in a duplex
Strathmore,740,Apartment in a building that has fewer than five storeys
Strathmore,0,Apartment in a building that has five or more storeys
Strathmore,0,Other single-attached house
Strathmore,225,Movable dwelling
Canmore,2575,Single-detached house
Canmore,560,Semi-detached house
Canmore,1340,Row house
Canmore,385,Apartment or flat in a duplex
Canmore,1670,Apartment in a building that has fewer than five storeys
Canmore,255,Apartment in a building that has five or more storeys
Canmore,5,Other single-attached house
Canmore,10,Movable dwelling
Red Deer,21515,Single-detached house
Red Deer,3275,Semi-detached house
Red Deer,4075,Row house
Red Deer,1480,Apartment or flat in a duplex
Red Deer,8495,Apartment in a building that has fewer than five storeys
Red Deer,590,Apartment in a building that has five or more storeys
Red Deer,30,Other single-attached house
Red Deer,1045,Movable dwelling
Sylvan Lake,4430,Single-detached house
Sylvan Lake,310,Semi-detached house
Sylvan Lake,775,Row house
Sylvan Lake,235,Apartment or flat in a duplex
Sylvan Lake,535,Apartment in a building that has fewer than five storeys
Sylvan Lake,135,Apartment in a building that has five or more storeys
Sylvan Lake,5,Other single-attached house
Sylvan Lake,190,Movable dwelling
Lacombe,3285,Single-detached house
Lacombe,460,Semi-detached house
Lacombe,255,Row house
Lacombe,110,Apartment or flat in a duplex
Lacombe,695,Apartment in a building that has fewer than five storeys
Lacombe,0,Apartment in a building that has five or more storeys
Lacombe,15,Other single-attached house
Lacombe,365,Movable dwelling
Camrose,5075,Single-detached house
Camrose,560,Semi-detached house
Camrose,455,Row house
Camrose,205,Apartment or flat in a duplex
Camrose,1605,Apartment in a building that has fewer than five storeys
Camrose,60,Apartment in a building that has five or more storeys
Camrose,10,Other single-attached house
Camrose,170,Movable dwelling
Edmonton,309965,Single-detached house
Edmonton,38475,Semi-detached house
Edmonton,46405,Row house
Edmonton,10955,Apartment or flat in a duplex
Edmonton,105235,Apartment in a building that has fewer than five storeys
Edmonton,30920,Apartment in a building that has five or more storeys
Edmonton,140,Other single-attached house
Edmonton,6525,Movable dwelling
Lloydminster,9420,Single-detached house
Lloydminster,335,Semi-detached house
Lloydminster,1095,Row house
Lloydminster,110,Apartment or flat in a duplex
Lloydminster,2385,Apartment in a building that has fewer than five storeys
Lloydminster,105,Apartment in a building that has five or more storeys
Lloydminster,5,Other single-attached house
Lloydminster,435,Movable dwelling
Lloydminster (Saskatchewan part),4200,Single-detached house
Lloydminster (Saskatchewan part),120,Semi-detached house
Lloydminster (Saskatchewan part),770,Row house
Lloydminster (Saskatchewan part),40,Apartment or flat in a duplex
Lloydminster (Saskatchewan part),815,Apartment in a building that has fewer than five storeys
Lloydminster (Saskatchewan part),70,Apartment in a building that has five or more storeys
Lloydminster (Saskatchewan part),5,Other single-attached house
Lloydminster (Saskatchewan part),230,Movable dwelling
Lloydminster (Alberta part),5225,Single-detached house
Lloydminster (Alberta part),215,Semi-detached house
Lloydminster (Alberta part),325,Row house
Lloydminster (Alberta part),65,Apartment or flat in a duplex
Lloydminster (Alberta part),1570,Apartment in a building that has fewer than five storeys
Lloydminster (Alberta part),40,Apartment in a building that has five or more storeys
Lloydminster (Alberta part),0,Other single-attached house
Lloydminster (Alberta part),205,Movable dwelling
Grande Prairie,15280,Single-detached house
Grande Prairie,1755,Semi-detached house
Grande Prairie,1085,Row house
Grande Prairie,1105,Apartment or flat in a duplex
Grande Prairie,4580,Apartment in a building that has fewer than five storeys
Grande Prairie,160,Apartment in a building that has five or more storeys
Grande Prairie,5,Other single-attached house
Grande Prairie,835,Movable dwelling
Wood Buffalo,12915,Single-detached house
Wood Buffalo,1235,Semi-detached house
Wood Buffalo,2755,Row house
Wood Buffalo,470,Apartment or flat in a duplex
Wood Buffalo,5645,Apartment in a building that has fewer than five storeys
Wood Buffalo,845,Apartment in a building that has five or more storeys
Wood Buffalo,5,Other single-attached house
Wood Buffalo,2605,Movable dwelling
Wetaskiwin,3015,Single-detached house
Wetaskiwin,405,Semi-detached house
Wetaskiwin,445,Row house
Wetaskiwin,170,Apartment or flat in a duplex
Wetaskiwin,980,Apartment in a building that has fewer than five storeys
Wetaskiwin,0,Apartment in a building that has five or more storeys
Wetaskiwin,10,Other single-attached house
Wetaskiwin,165,Movable dwelling
Cranbrook,7890,Single-detached house
Cranbrook,510,Semi-detached house
Cranbrook,530,Row house
Cranbrook,255,Apartment or flat in a duplex
Cranbrook,1300,Apartment in a building that has fewer than five storeys
Cranbrook,0,Apartment in a building that has five or more storeys
Cranbrook,50,Other single-attached house
Cranbrook,850,Movable dwelling
Nelson,5595,Single-detached house
Nelson,320,Semi-detached house
Nelson,265,Row house
Nelson,780,Apartment or flat in a duplex
Nelson,1050,Apartment in a building that has fewer than five storeys
Nelson,0,Apartment in a building that has five or more storeys
Nelson,120,Other single-attached house
Nelson,370,Movable dwelling
Trail,4950,Single-detached house
Trail,240,Semi-detached house
Trail,200,Row house
Trail,225,Apartment or flat in a duplex
Trail,780,Apartment in a building that has fewer than five storeys
Trail,0,Apartment in a building that has five or more storeys
Trail,15,Other single-attached house
Trail,95,Movable dwelling
Penticton,10525,Single-detached house
Penticton,720,Semi-detached house
Penticton,1970,Row house
Penticton,945,Apartment or flat in a duplex
Penticton,5210,Apartment in a building that has fewer than five storeys
Penticton,1210,Apartment in a building that has five or more storeys
Penticton,135,Other single-attached house
Penticton,1220,Movable dwelling
Kelowna,46335,Single-detached house
Kelowna,4605,Semi-detached house
Kelowna,5955,Row house
Kelowna,9045,Apartment or flat in a duplex
Kelowna,21395,Apartment in a building that has fewer than five storeys
Kelowna,2585,Apartment in a building that has five or more storeys
Kelowna,175,Other single-attached house
Kelowna,4235,Movable dwelling
Vernon,16285,Single-detached house
Vernon,1680,Semi-detached house
Vernon,2200,Row house
Vernon,2205,Apartment or flat in a duplex
Vernon,4905,Apartment in a building that has fewer than five storeys
Vernon,350,Apartment in a building that has five or more storeys
Vernon,100,Other single-attached house
Vernon,1005,Movable dwelling
Salmon Arm,5155,Single-detached house
Salmon Arm,225,Semi-detached house
Salmon Arm,605,Row house
Salmon Arm,680,Apartment or flat in a duplex
Salmon Arm,1105,Apartment in a building that has fewer than five storeys
Salmon Arm,0,Apartment in a building that has five or more storeys
Salmon Arm,30,Other single-attached house
Salmon Arm,420,Movable dwelling
Kamloops,24995,Single-detached house
Kamloops,3360,Semi-detached house
Kamloops,4215,Row house
Kamloops,4060,Apartment or flat in a duplex
Kamloops,7350,Apartment in a building that has fewer than five storeys
Kamloops,855,Apartment in a building that has five or more storeys
Kamloops,85,Other single-attached house
Kamloops,2190,Movable dwelling
Chilliwack,25495,Single-detached house
Chilliwack,1655,Semi-detached house
Chilliwack,5935,Row house
Chilliwack,1745,Apartment or flat in a duplex
Chilliwack,7580,Apartment in a building that has fewer than five storeys
Chilliwack,290,Apartment in a building that has five or more storeys
Chilliwack,45,Other single-attached house
Chilliwack,1625,Movable dwelling
Abbotsford - Mission,29170,Single-detached house
Abbotsford - Mission,1710,Semi-detached house
Abbotsford - Mission,5590,Row house
Abbotsford - Mission,14035,Apartment or flat in a duplex
Abbotsford - Mission,15550,Apartment in a building that has fewer than five storeys
Abbotsford - Mission,1160,Apartment in a building that has five or more storeys
Abbotsford - Mission,60,Other single-attached house
Abbotsford - Mission,335,Movable dwelling
Vancouver,288775,Single-detached house
Vancouver,22030,Semi-detached house
Vancouver,105965,Row house
Vancouver,167855,Apartment or flat in a duplex
Vancouver,255555,Apartment in a building that has fewer than five storeys
Vancouver,197280,Apartment in a building that has five or more storeys
Vancouver,1340,Other single-attached house
Vancouver,4525,Movable dwelling
Squamish,3810,Single-detached house
Squamish,845,Semi-detached house
Squamish,1355,Row house
Squamish,610,Apartment or flat in a duplex
Squamish,1660,Apartment in a building that has fewer than five storeys
Squamish,635,Apartment in a building that has five or more storeys
Squamish,20,Other single-attached house
Squamish,370,Movable dwelling
Victoria,67260,Single-detached house
Victoria,6445,Semi-detached house
Victoria,11320,Row house
Victoria,27125,Apartment or flat in a duplex
Victoria,47460,Apartment in a building that has fewer than five storeys
Victoria,14650,Apartment in a building that has five or more storeys
Victoria,305,Other single-attached house
Victoria,2110,Movable dwelling
Ladysmith,4995,Single-detached house
Ladysmith,280,Semi-detached house
Ladysmith,255,Row house
Ladysmith,210,Apartment or flat in a duplex
Ladysmith,395,Apartment in a building that has fewer than five storeys
Ladysmith,0,Apartment in a building that has five or more storeys
Ladysmith,40,Other single-attached house
Ladysmith,325,Movable dwelling
Duncan,12850,Single-detached house
Duncan,1155,Semi-detached house
Duncan,1225,Row house
Duncan,925,Apartment or flat in a duplex
Duncan,2940,Apartment in a building that has fewer than five storeys
Duncan,10,Apartment in a building that has five or more storeys
Duncan,85,Other single-attached house
Duncan,825,Movable dwelling
Nanaimo,27575,Single-detached house
Nanaimo,2200,Semi-detached house
Nanaimo,1985,Row house
Nanaimo,6265,Apartment or flat in a duplex
Nanaimo,8270,Apartment in a building that has fewer than five storeys
Nanaimo,1390,Apartment in a building that has five or more storeys
Nanaimo,100,Other single-attached house
Nanaimo,1560,Movable dwelling
Parksville,10610,Single-detached house
Parksville,850,Semi-detached house
Parksville,1170,Row house
Parksville,220,Apartment or flat in a duplex
Parksville,1335,Apartment in a building that has fewer than five storeys
Parksville,70,Apartment in a building that has five or more storeys
Parksville,25,Other single-attached house
Parksville,490,Movable dwelling
Port Alberni,8495,Single-detached house
Port Alberni,305,Semi-detached house
Port Alberni,515,Row house
Port Alberni,435,Apartment or flat in a duplex
Port Alberni,1310,Apartment in a building that has fewer than five storeys
Port Alberni,140,Apartment in a building that has five or more storeys
Port Alberni,20,Other single-attached house
Port Alberni,495,Movable dwelling
Courtenay,18145,Single-detached house
Courtenay,2810,Semi-detached house
Courtenay,1710,Row house
Courtenay,875,Apartment or flat in a duplex
Courtenay,3585,Apartment in a building that has fewer than five storeys
Courtenay,45,Apartment in a building that has five or more storeys
Courtenay,55,Other single-attached house
Courtenay,975,Movable dwelling
Campbell River,11175,Single-detached house
Campbell River,850,Semi-detached house
Campbell River,1080,Row house
Campbell River,740,Apartment or flat in a duplex
Campbell River,2840,Apartment in a building that has fewer than five storeys
Campbell River,0,Apartment in a building that has five or more storeys
Campbell River,5,Other single-attached house
Campbell River,950,Movable dwelling
Powell River,6160,Single-detached house
Powell River,255,Semi-detached house
Powell River,105,Row house
Powell River,320,Apartment or flat in a duplex
Powell River,950,Apartment in a building that has fewer than five storeys
Powell River,20,Apartment in a building that has five or more storeys
Powell River,30,Other single-attached house
Powell River,340,Movable dwelling
Williams Lake,6530,Single-detached house
Williams Lake,270,Semi-detached house
Williams Lake,385,Row house
Williams Lake,570,Apartment or flat in a duplex
Williams Lake,970,Apartment in a building that has fewer than five storeys
Williams Lake,0,Apartment in a building that has five or more storeys
Williams Lake,25,Other single-attached house
Williams Lake,1285,Movable dwelling
Quesnel,7170,Single-detached house
Quesnel,210,Semi-detached house
Quesnel,300,Row house
Quesnel,205,Apartment or flat in a duplex
Quesnel,1065,Apartment in a building that has fewer than five storeys
Quesnel,0,Apartment in a building that has five or more storeys
Quesnel,40,Other single-attached house
Quesnel,1165,Movable dwelling
Prince Rupert,3245,Single-detached house
Prince Rupert,230,Semi-detached house
Prince Rupert,310,Row house
Prince Rupert,635,Apartment or flat in a duplex
Prince Rupert,905,Apartment in a building that has fewer than five storeys
Prince Rupert,60,Apartment in a building that has five or more storeys
Prince Rupert,15,Other single-attached house
Prince Rupert,100,Movable dwelling
Terrace,5375,Single-detached house
Terrace,345,Semi-detached house
Terrace,485,Row house
Terrace,385,Apartment or flat in a duplex
Terrace,610,Apartment in a building that has fewer than five storeys
Terrace,0,Apartment in a building that has five or more storeys
Terrace,50,Other single-attached house
Terrace,750,Movable dwelling
Prince George,22935,Single-detached house
Prince George,1300,Semi-detached house
Prince George,1850,Row house
Prince George,2505,Apartment or flat in a duplex
Prince George,4740,Apartment in a building that has fewer than five storeys
Prince George,575,Apartment in a building that has five or more storeys
Prince George,40,Other single-attached house
Prince George,2855,Movable dwelling
Dawson Creek,5215,Single-detached house
Dawson Creek,330,Semi-detached house
Dawson Creek,340,Row house
Dawson Creek,165,Apartment or flat in a duplex
Dawson Creek,1085,Apartment in a building that has fewer than five storeys
Dawson Creek,0,Apartment in a building that has five or more storeys
Dawson Creek,10,Other single-attached house
Dawson Creek,405,Movable dwelling
Fort St. John,6425,Single-detached house
Fort St. John,1010,Semi-detached house
Fort St. John,920,Row house
Fort St. John,240,Apartment or flat in a duplex
Fort St. John,1735,Apartment in a building that has fewer than five storeys
Fort St. John,145,Apartment in a building that has five or more storeys
Fort St. John,15,Other single-attached house
Fort St. John,1105,Movable dwelling
Whitehorse,7110,Single-detached house
Whitehorse,1060,Semi-detached house
Whitehorse,1155,Row house
Whitehorse,650,Apartment or flat in a duplex
Whitehorse,1830,Apartment in a building that has fewer than five storeys
Whitehorse,55,Apartment in a building that has five or more storeys
Whitehorse,90,Other single-attached house
Whitehorse,1230,Movable dwelling
Yellowknife,3330,Single-detached house
Yellowknife,195,Semi-detached house
Yellowknife,885,Row house
Yellowknife,305,Apartment or flat in a duplex
Yellowknife,1940,Apartment in a building that has fewer than five storeys
Yellowknife,295,Apartment in a building that has five or more storeys
Yellowknife,20,Other single-attached house
Yellowknife,545,Movable dwelling
