GEO_NAME,COUNT_TOTAL,COUNT_MEN,COUNT_WOMEN,immigration_status,period_of_immigration
Peterborough,1260,565,695,Immigrants,1991 to 2000
Peterborough,1590,740,855,Immigrants,2001 to 2010
Peterborough,2090,1055,1030,Immigrants,2011 to 2021
Peterborough,1615,920,695,Non-permanent residents,0
Kawartha Lakes,70930,35160,35770,Non-immigrants,0
Kawartha Lakes,6100,2980,3125,Immigrants,0
Kawartha Lakes,3760,1840,1925,Immigrants,Before 1980
Kawartha Lakes,755,380,375,Immigrants,1980 to 1990
Kawartha Lakes,610,285,320,Immigrants,1991 to 2000
Kawartha Lakes,545,265,280,Immigrants,2001 to 2010
Kawartha Lakes,430,205,230,Immigrants,2011 to 2021
Kawartha Lakes,195,100,105,Non-permanent residents,0
Centre Wellington,27085,13285,13800,Non-immigrants,0
Centre Wellington,3450,1690,1760,Immigrants,0
Centre Wellington,1695,845,850,Immigrants,Before 1980
Centre Wellington,500,235,265,Immigrants,1980 to 1990
Centre Wellington,425,190,230,Immigrants,1991 to 2000
Centre Wellington,440,240,205,Immigrants,2001 to 2010
Centre Wellington,395,185,215,Immigrants,2011 to 2021
Centre Wellington,110,60,50,Non-permanent residents,0
Oshawa,315710,155880,159835,Non-immigrants,0
Oshawa,91815,43460,48355,Immigrants,0
Oshawa,24140,11365,12775,Immigrants,Before 1980
Oshawa,10625,4980,5650,Immigrants,1980 to 1990
Oshawa,16420,7865,8550,Immigrants,1991 to 2000
Oshawa,19475,9160,10310,Immigrants,2001 to 2010
Oshawa,21150,10085,11070,Immigrants,2011 to 2021
Oshawa,3880,2160,1715,Non-permanent residents,0
Ingersoll,12485,6190,6295,Non-immigrants,0
Ingersoll,1035,485,545,Immigrants,0
Ingersoll,490,235,250,Immigrants,Before 1980
Ingersoll,105,35,75,Immigrants,1980 to 1990
Ingersoll,120,55,60,Immigrants,1991 to 2000
Ingersoll,160,80,80,Immigrants,2001 to 2010
Ingersoll,155,85,70,Immigrants,2011 to 2021
Ingersoll,30,10,15,Non-permanent residents,0
Toronto,3030045,1523055,1506995,Non-immigrants,0
Toronto,2862850,1343200,1519655,Immigrants,0
Toronto,473315,218520,254795,Immigrants,Before 1980
Toronto,348930,166145,182790,Immigrants,1980 to 1990
Toronto,634830,296180,338650,Immigrants,1991 to 2000
Toronto,689395,321245,368150,Immigrants,2001 to 2010
Toronto,716380,341105,375275,Immigrants,2011 to 2021
Toronto,249980,133290,116690,Non-permanent residents,0
Hamilton,561180,276500,284680,Non-immigrants,0
Hamilton,197845,93805,104045,Immigrants,0
Hamilton,56360,26310,30055,Immigrants,Before 1980
Hamilton,22965,11125,11840,Immigrants,1980 to 1990
Hamilton,33875,15970,17905,Immigrants,1991 to 2000
Hamilton,38275,18045,20230,Immigrants,2001 to 2010
Hamilton,46365,22355,24010,Immigrants,2011 to 2021
Hamilton,14410,8030,6385,Non-permanent residents,0
St. Catharines - Niagara,340945,167210,173735,Non-immigrants,0
St. Catharines - Niagara,76300,35985,40320,Immigrants,0
St. Catharines - Niagara,30160,14285,15880,Immigrants,Before 1980
St. Catharines - Niagara,8680,4080,4605,Immigrants,1980 to 1990
St. Catharines - Niagara,10590,4895,5700,Immigrants,1991 to 2000
St. Catharines - Niagara,12470,5770,6700,Immigrants,2001 to 2010
St. Catharines - Niagara,14400,6960,7445,Immigrants,2011 to 2021
St. Catharines - Niagara,8235,4260,3970,Non-permanent residents,0
Kitchener - Cambridge - Waterloo,399245,198830,200410,Non-immigrants,0
Kitchener - Cambridge - Waterloo,146575,71600,74975,Immigrants,0
Kitchener - Cambridge - Waterloo,28615,13895,14715,Immigrants,Before 1980
Kitchener - Cambridge - Waterloo,16865,8390,8475,Immigrants,1980 to 1990
Kitchener - Cambridge - Waterloo,25005,12225,12780,Immigrants,1991 to 2000
Kitchener - Cambridge - Waterloo,31495,15035,16455,Immigrants,2001 to 2010
Kitchener - Cambridge - Waterloo,44595,22055,22540,Immigrants,2011 to 2021
Kitchener - Cambridge - Waterloo,22250,13165,9085,Non-permanent residents,0
Brantford,120245,59250,60990,Non-immigrants,0
Brantford,20230,9885,10345,Immigrants,0
Brantford,6880,3375,3500,Immigrants,Before 1980
Brantford,2580,1320,1260,Immigrants,1980 to 1990
Brantford,3030,1435,1595,Immigrants,1991 to 2000
Brantford,3590,1745,1850,Immigrants,2001 to 2010
Brantford,4155,2010,2145,Immigrants,2011 to 2021
Brantford,1435,820,610,Non-permanent residents,0
Woodstock,38855,18975,19875,Non-immigrants,0
Woodstock,6810,3355,3450,Immigrants,0
Woodstock,2115,1065,1040,Immigrants,Before 1980
Woodstock,735,380,355,Immigrants,1980 to 1990
Woodstock,820,370,455,Immigrants,1991 to 2000
Woodstock,1355,680,680,Immigrants,2001 to 2010
Woodstock,1785,865,925,Immigrants,2011 to 2021
Woodstock,285,190,95,Non-permanent residents,0
Tillsonburg,15985,7685,8295,Non-immigrants,0
Tillsonburg,2295,1070,1220,Immigrants,0
Tillsonburg,1150,525,625,Immigrants,Before 1980
Tillsonburg,410,225,185,Immigrants,1980 to 1990
Tillsonburg,245,105,135,Immigrants,1991 to 2000
Tillsonburg,255,130,125,Immigrants,2001 to 2010
Tillsonburg,235,85,145,Immigrants,2011 to 2021
Tillsonburg,20,15,0,Non-permanent residents,0
Norfolk,58905,29270,29635,Non-immigrants,0
Norfolk,7080,3440,3640,Immigrants,0
Norfolk,3490,1650,1840,Immigrants,Before 1980
Norfolk,1030,480,545,Immigrants,1980 to 1990
Norfolk,900,450,450,Immigrants,1991 to 2000
Norfolk,860,470,390,Immigrants,2001 to 2010
Norfolk,800,390,410,Immigrants,2011 to 2021
Norfolk,245,145,95,Non-permanent residents,0
Guelph,123670,60890,62780,Non-immigrants,0
Guelph,37100,17840,19265,Immigrants,0
Guelph,8450,3935,4510,Immigrants,Before 1980
Guelph,4315,2250,2070,Immigrants,1980 to 1990
Guelph,6210,2955,3250,Immigrants,1991 to 2000
Guelph,7645,3610,4035,Immigrants,2001 to 2010
Guelph,10475,5080,5395,Immigrants,2011 to 2021
Guelph,2715,1690,1020,Non-permanent residents,0
Stratford,28625,13950,14675,Non-immigrants,0
Stratford,3555,1670,1885,Immigrants,0
Stratford,1565,760,805,Immigrants,Before 1980
Stratford,530,230,295,Immigrants,1980 to 1990
Stratford,405,175,235,Immigrants,1991 to 2000
Stratford,405,180,225,Immigrants,2001 to 2010
Stratford,655,330,325,Immigrants,2011 to 2021
Stratford,300,185,115,Non-permanent residents,0
London,400620,196520,204095,Non-immigrants,0
London,115600,55485,60120,Immigrants,0
London,27795,13055,14740,Immigrants,Before 1980
London,13830,6750,7085,Immigrants,1980 to 1990
London,17085,8215,8870,Immigrants,1991 to 2000
London,22335,10445,11890,Immigrants,2001 to 2010
London,34550,17015,17535,Immigrants,2011 to 2021
London,19560,10655,8905,Non-permanent residents,0
Chatham-Kent,92315,45690,46625,Non-immigrants,0
Chatham-Kent,9245,4360,4885,Immigrants,0
Chatham-Kent,3940,1810,2140,Immigrants,Before 1980
Chatham-Kent,1245,605,645,Immigrants,1980 to 1990
Chatham-Kent,1100,520,580,Immigrants,1991 to 2000
Chatham-Kent,1520,715,805,Immigrants,2001 to 2010
Chatham-Kent,1435,710,725,Immigrants,2011 to 2021
Chatham-Kent,530,345,185,Non-permanent residents,0
Windsor,309340,153905,155440,Non-immigrants,0
Windsor,96910,46735,50170,Immigrants,0
Windsor,23230,11085,12145,Immigrants,Before 1980
Windsor,10365,5185,5170,Immigrants,1980 to 1990
Windsor,17865,8685,9185,Immigrants,1991 to 2000
Windsor,18355,8555,9800,Immigrants,2001 to 2010
Windsor,27095,13225,13870,Immigrants,2011 to 2021
Windsor,9255,5915,3340,Non-permanent residents,0
Sarnia,84845,41940,42905,Non-immigrants,0
Sarnia,10080,4585,5505,Immigrants,0
Sarnia,5280,2405,2875,Immigrants,Before 1980
Sarnia,1235,500,730,Immigrants,1980 to 1990
Sarnia,905,425,480,Immigrants,1991 to 2000
Sarnia,1250,595,655,Immigrants,2001 to 2010
Sarnia,1415,650,760,Immigrants,2011 to 2021
Sarnia,1365,845,515,Non-permanent residents,0
Essa,20005,10175,9830,Non-immigrants,0
Essa,2680,1235,1450,Immigrants,0
Essa,765,385,380,Immigrants,Before 1980
Essa,415,205,215,Immigrants,1980 to 1990
Essa,550,260,290,Immigrants,1991 to 2000
Essa,505,215,290,Immigrants,2001 to 2010
Essa,445,175,270,Immigrants,2011 to 2021
Essa,100,85,20,Non-permanent residents,0
Wasaga Beach,20170,9800,10370,Non-immigrants,0
Wasaga Beach,4280,2070,2205,Immigrants,0
Wasaga Beach,2765,1360,1400,Immigrants,Before 1980
Wasaga Beach,550,270,280,Immigrants,1980 to 1990
Wasaga Beach,395,200,195,Immigrants,1991 to 2000
Wasaga Beach,305,125,180,Immigrants,2001 to 2010
Wasaga Beach,270,115,150,Immigrants,2011 to 2021
Wasaga Beach,140,100,35,Non-permanent residents,0
Owen Sound,29410,14240,15170,Non-immigrants,0
Owen Sound,2340,1150,1190,Immigrants,0
Owen Sound,1095,540,555,Immigrants,Before 1980
Owen Sound,275,130,140,Immigrants,1980 to 1990
Owen Sound,250,115,130,Immigrants,1991 to 2000
Owen Sound,300,155,140,Immigrants,2001 to 2010
Owen Sound,415,200,215,Immigrants,2011 to 2021
Owen Sound,125,80,45,Non-permanent residents,0
Collingwood,20950,10015,10935,Non-immigrants,0
Collingwood,3205,1440,1770,Immigrants,0
Collingwood,1635,720,915,Immigrants,Before 1980
Collingwood,385,155,225,Immigrants,1980 to 1990
Collingwood,320,170,150,Immigrants,1991 to 2000
Collingwood,425,185,240,Immigrants,2001 to 2010
Collingwood,440,200,240,Immigrants,2011 to 2021
Collingwood,115,45,70,Non-permanent residents,0
Barrie,171405,85185,86220,Non-immigrants,0
Barrie,35340,16820,18525,Immigrants,0
Barrie,10290,4810,5485,Immigrants,Before 1980
Barrie,4385,2155,2235,Immigrants,1980 to 1990
Barrie,5715,2600,3115,Immigrants,1991 to 2000
Barrie,7005,3395,3615,Immigrants,2001 to 2010
Barrie,7940,3860,4075,Immigrants,2011 to 2021
Barrie,3410,1965,1440,Non-permanent residents,0
Orillia,28970,13755,15220,Non-immigrants,0
Orillia,3115,1380,1735,Immigrants,0
Orillia,1460,645,820,Immigrants,Before 1980
Orillia,375,185,190,Immigrants,1980 to 1990
Orillia,400,150,250,Immigrants,1991 to 2000
Orillia,405,170,235,Immigrants,2001 to 2010
Orillia,475,230,240,Immigrants,2011 to 2021
Orillia,185,80,100,Non-permanent residents,0
Midland,24020,11600,12420,Non-immigrants,0
Midland,2260,1060,1205,Immigrants,0
Midland,1140,515,630,Immigrants,Before 1980
Midland,290,170,125,Immigrants,1980 to 1990
Midland,185,70,120,Immigrants,1991 to 2000
Midland,320,155,165,Immigrants,2001 to 2010
Midland,320,150,170,Immigrants,2011 to 2021
Midland,80,20,60,Non-permanent residents,0
North Bay,66260,32500,33760,Non-immigrants,0
North Bay,3375,1555,1820,Immigrants,0
North Bay,1535,725,815,Immigrants,Before 1980
North Bay,380,190,195,Immigrants,1980 to 1990
North Bay,385,155,230,Immigrants,1991 to 2000
North Bay,505,210,295,Immigrants,2001 to 2010
North Bay,565,270,290,Immigrants,2011 to 2021
North Bay,535,325,210,Non-permanent residents,0
Greater Sudbury / Grand Sudbury,154070,75985,78090,Non-immigrants,0
Greater Sudbury / Grand Sudbury,9985,4765,5220,Immigrants,0
Greater Sudbury / Grand Sudbury,4290,1955,2340,Immigrants,Before 1980
Greater Sudbury / Grand Sudbury,750,350,400,Immigrants,1980 to 1990
Greater Sudbury / Grand Sudbury,870,430,440,Immigrants,1991 to 2000
Greater Sudbury / Grand Sudbury,1310,680,630,Immigrants,2001 to 2010
Greater Sudbury / Grand Sudbury,2765,1355,1410,Immigrants,2011 to 2021
Greater Sudbury / Grand Sudbury,3560,2035,1530,Non-permanent residents,0
Elliot Lake,10030,4955,5075,Non-immigrants,0
Elliot Lake,1180,550,630,Immigrants,0
Elliot Lake,805,400,405,Immigrants,Before 1980
Elliot Lake,180,75,105,Immigrants,1980 to 1990
Elliot Lake,100,35,65,Immigrants,1991 to 2000
Elliot Lake,55,20,40,Immigrants,2001 to 2010
Elliot Lake,40,20,20,Immigrants,2011 to 2021
Elliot Lake,15,10,0,Non-permanent residents,0
Timmins,38290,19175,19115,Non-immigrants,0
Timmins,1370,645,730,Immigrants,0
Timmins,590,260,330,Immigrants,Before 1980
Timmins,75,35,45,Immigrants,1980 to 1990
Timmins,135,80,55,Immigrants,1991 to 2000
Timmins,180,85,95,Immigrants,2001 to 2010
Timmins,390,180,215,Immigrants,2011 to 2021
Timmins,650,380,265,Non-permanent residents,0
Sault Ste. Marie,68400,33355,35050,Non-immigrants,0
Sault Ste. Marie,6095,2900,3200,Immigrants,0
Sault Ste. Marie,4005,1870,2135,Immigrants,Before 1980
Sault Ste. Marie,325,145,180,Immigrants,1980 to 1990
Sault Ste. Marie,325,140,190,Immigrants,1991 to 2000
Sault Ste. Marie,520,280,235,Immigrants,2001 to 2010
Sault Ste. Marie,920,465,460,Immigrants,2011 to 2021
Sault Ste. Marie,930,605,320,Non-permanent residents,0
Thunder Bay,108275,53305,54970,Non-immigrants,0
Thunder Bay,9980,4845,5130,Immigrants,0
Thunder Bay,5300,2570,2725,Immigrants,Before 1980
Thunder Bay,965,415,550,Immigrants,1980 to 1990
Thunder Bay,835,400,435,Immigrants,1991 to 2000
Thunder Bay,1155,585,570,Immigrants,2001 to 2010
Thunder Bay,1730,880,850,Immigrants,2011 to 2021
Thunder Bay,2710,1630,1075,Non-permanent residents,0
Kenora,13855,6840,7015,Non-immigrants,0
Kenora,640,300,340,Immigrants,0
Kenora,315,145,170,Immigrants,Before 1980
Kenora,75,35,40,Immigrants,1980 to 1990
Kenora,60,15,40,Immigrants,1991 to 2000
Kenora,65,40,25,Immigrants,2001 to 2010
Kenora,130,60,65,Immigrants,2011 to 2021
Kenora,115,70,45,Non-permanent residents,0
Winnipeg,581540,287950,293595,Non-immigrants,0
Winnipeg,207950,100875,107075,Immigrants,0
Winnipeg,31370,14680,16690,Immigrants,Before 1980
Winnipeg,18260,9125,9140,Immigrants,1980 to 1990
Winnipeg,17770,8150,9620,Immigrants,1991 to 2000
Winnipeg,50065,24425,25640,Immigrants,2001 to 2010
Winnipeg,90485,44500,45985,Immigrants,2011 to 2021
Winnipeg,30220,16970,13250,Non-permanent residents,0
Winkler,23785,11795,11990,Non-immigrants,0
Winkler,8155,4085,4070,Immigrants,0
Winkler,1035,545,490,Immigrants,Before 1980
Winkler,385,150,235,Immigrants,1980 to 1990
Winkler,445,235,210,Immigrants,1991 to 2000
Winkler,3280,1650,1625,Immigrants,2001 to 2010
Winkler,3010,1505,1505,Immigrants,2011 to 2021
Winkler,270,170,100,Non-permanent residents,0
Steinbach,13585,6650,6935,Non-immigrants,0
Steinbach,3745,1815,1925,Immigrants,0
Steinbach,445,210,235,Immigrants,Before 1980
Steinbach,200,110,95,Immigrants,1980 to 1990
Steinbach,265,145,125,Immigrants,1991 to 2000
Steinbach,1170,550,615,Immigrants,2001 to 2010
Steinbach,1655,805,855,Immigrants,2011 to 2021
Steinbach,255,110,140,Non-permanent residents,0
Portage la Prairie,11420,5485,5930,Non-immigrants,0
Portage la Prairie,1190,560,625,Immigrants,0
Portage la Prairie,160,60,100,Immigrants,Before 1980
Portage la Prairie,65,40,25,Immigrants,1980 to 1990
Portage la Prairie,45,15,25,Immigrants,1991 to 2000
Portage la Prairie,190,110,80,Immigrants,2001 to 2010
Portage la Prairie,730,335,390,Immigrants,2011 to 2021
Portage la Prairie,225,145,80,Non-permanent residents,0
Brandon,42410,20690,21715,Non-immigrants,0
Brandon,9180,4555,4630,Immigrants,0
Brandon,575,270,310,Immigrants,Before 1980
Brandon,315,180,135,Immigrants,1980 to 1990
Brandon,390,180,210,Immigrants,1991 to 2000
Brandon,2990,1465,1520,Immigrants,2001 to 2010
Brandon,4915,2465,2450,Immigrants,2011 to 2021
Brandon,1160,680,480,Non-permanent residents,0
Thompson,10935,5465,5465,Non-immigrants,0
Thompson,1730,875,855,Immigrants,0
Thompson,150,85,65,Immigrants,Before 1980
Thompson,110,75,35,Immigrants,1980 to 1990
Thompson,80,30,50,Immigrants,1991 to 2000
Thompson,350,165,185,Immigrants,2001 to 2010
Thompson,1040,525,515,Immigrants,2011 to 2021
Thompson,220,130,85,Non-permanent residents,0
Regina,192745,94765,97980,Non-immigrants,0
Regina,46050,22900,23155,Immigrants,0
Regina,4045,2010,2035,Immigrants,Before 1980
Regina,1935,980,955,Immigrants,1980 to 1990
Regina,2785,1295,1495,Immigrants,1991 to 2000
Regina,9340,4535,4805,Immigrants,2001 to 2010
Regina,27945,14080,13870,Immigrants,2011 to 2021
Regina,6155,3455,2700,Non-permanent residents,0
Yorkton,17105,8395,8710,Non-immigrants,0
Yorkton,2060,980,1075,Immigrants,0
Yorkton,165,65,100,Immigrants,Before 1980
Yorkton,50,30,20,Immigrants,1980 to 1990
Yorkton,70,45,25,Immigrants,1991 to 2000
Yorkton,410,170,235,Immigrants,2001 to 2010
Yorkton,1360,665,700,Immigrants,2011 to 2021
Yorkton,345,195,150,Non-permanent residents,0
Moose Jaw,30475,15005,15465,Non-immigrants,0
Moose Jaw,3110,1505,1610,Immigrants,0
Moose Jaw,460,205,250,Immigrants,Before 1980
Moose Jaw,165,95,75,Immigrants,1980 to 1990
Moose Jaw,195,100,95,Immigrants,1991 to 2000
Moose Jaw,575,255,320,Immigrants,2001 to 2010
Moose Jaw,1715,840,875,Immigrants,2011 to 2021
Moose Jaw,570,385,185,Non-permanent residents,0
Swift Current,15685,7650,8040,Non-immigrants,0
Swift Current,2135,1080,1055,Immigrants,0
Swift Current,225,100,125,Immigrants,Before 1980
Swift Current,65,40,20,Immigrants,1980 to 1990
Swift Current,90,50,45,Immigrants,1991 to 2000
Swift Current,450,260,195,Immigrants,2001 to 2010
Swift Current,1305,635,665,Immigrants,2011 to 2021
Swift Current,245,130,110,Non-permanent residents,0
Saskatoon,249955,123055,126895,Non-immigrants,0
Saskatoon,56070,27920,28155,Immigrants,0
Saskatoon,4460,2145,2315,Immigrants,Before 1980
Saskatoon,2600,1265,1330,Immigrants,1980 to 1990
Saskatoon,3875,1840,2035,Immigrants,1991 to 2000
Saskatoon,12775,6395,6380,Immigrants,2001 to 2010
Saskatoon,32360,16265,16090,Immigrants,2011 to 2021
Saskatoon,5490,2925,2565,Non-permanent residents,0
North Battleford,16315,7755,8560,Non-immigrants,0
North Battleford,2190,1070,1120,Immigrants,0
North Battleford,180,75,105,Immigrants,Before 1980
North Battleford,90,45,40,Immigrants,1980 to 1990
North Battleford,90,50,40,Immigrants,1991 to 2000
North Battleford,500,250,245,Immigrants,2001 to 2010
North Battleford,1330,645,685,Immigrants,2011 to 2021
North Battleford,280,120,155,Non-permanent residents,0
Prince Albert,39120,18870,20250,Non-immigrants,0
Prince Albert,3700,1845,1850,Immigrants,0
Prince Albert,305,155,145,Immigrants,Before 1980
Prince Albert,145,100,45,Immigrants,1980 to 1990
Prince Albert,155,75,75,Immigrants,1991 to 2000
Prince Albert,695,305,385,Immigrants,2001 to 2010
Prince Albert,2400,1200,1205,Immigrants,2011 to 2021
Prince Albert,515,310,200,Non-permanent residents,0
Estevan,11075,5645,5430,Non-immigrants,0
Estevan,1350,645,700,Immigrants,0
Estevan,75,45,30,Immigrants,Before 1980
Estevan,25,0,25,Immigrants,1980 to 1990
Estevan,75,35,40,Immigrants,1991 to 2000
Estevan,275,150,130,Immigrants,2001 to 2010
Estevan,890,415,475,Immigrants,2011 to 2021
Estevan,130,85,45,Non-permanent residents,0
Weyburn,10500,5115,5385,Non-immigrants,0
Weyburn,1230,630,600,Immigrants,0
Weyburn,125,70,60,Immigrants,Before 1980
Weyburn,40,15,20,Immigrants,1980 to 1990
Weyburn,40,20,20,Immigrants,1991 to 2000
Weyburn,205,110,90,Immigrants,2001 to 2010
Weyburn,820,410,410,Immigrants,2011 to 2021
Weyburn,90,55,35,Non-permanent residents,0
Medicine Hat,66665,32875,33790,Non-immigrants,0
Medicine Hat,7225,3645,3580,Immigrants,0
Medicine Hat,1590,790,800,Immigrants,Before 1980
Medicine Hat,515,245,270,Immigrants,1980 to 1990
Medicine Hat,870,445,425,Immigrants,1991 to 2000
Medicine Hat,1480,790,695,Immigrants,2001 to 2010
Medicine Hat,2765,1370,1395,Immigrants,2011 to 2021
Medicine Hat,700,325,375,Non-permanent residents,0
Brooks,8860,4535,4325,Non-immigrants,0
Brooks,5435,2790,2645,Immigrants,0
Brooks,190,85,105,Immigrants,Before 1980
Brooks,190,110,75,Immigrants,1980 to 1990
Brooks,330,210,125,Immigrants,1991 to 2000
Brooks,1065,550,515,Immigrants,2001 to 2010
Brooks,3660,1835,1825,Immigrants,2011 to 2021
Brooks,350,280,70,Non-permanent residents,0
Lethbridge,101375,50375,51005,Non-immigrants,0
Lethbridge,17380,8545,8840,Immigrants,0
Lethbridge,4070,1965,2105,Immigrants,Before 1980
Lethbridge,1435,745,690,Immigrants,1980 to 1990
Lethbridge,1555,695,855,Immigrants,1991 to 2000
Lethbridge,3645,1840,1800,Immigrants,2001 to 2010
Lethbridge,6680,3300,3385,Immigrants,2011 to 2021
Lethbridge,1735,905,830,Non-permanent residents,0
Okotoks,25925,12925,13000,Non-immigrants,0
Okotoks,3990,1870,2130,Immigrants,0
Okotoks,835,355,480,Immigrants,Before 1980
Okotoks,410,190,220,Immigrants,1980 to 1990
Okotoks,350,160,185,Immigrants,1991 to 2000
Okotoks,1055,540,515,Immigrants,2001 to 2010
Okotoks,1345,615,725,Immigrants,2011 to 2021
Okotoks,100,70,35,Non-permanent residents,0
High River,11315,5565,5745,Non-immigrants,0
High River,2650,1280,1370,Immigrants,0
High River,450,205,245,Immigrants,Before 1980
High River,140,65,75,Immigrants,1980 to 1990
High River,160,70,95,Immigrants,1991 to 2000
High River,310,165,145,Immigrants,2001 to 2010
High River,1590,775,810,Immigrants,2011 to 2021
High River,150,100,50,Non-permanent residents,0
Calgary,976430,492820,483615,Non-immigrants,0
Calgary,460875,221635,239240,Immigrants,0
Calgary,53400,25920,27480,Immigrants,Before 1980
Calgary,43715,21400,22310,Immigrants,1980 to 1990
Calgary,65945,31675,34280,Immigrants,1991 to 2000
Calgary,124645,59840,64800,Immigrants,2001 to 2010
Calgary,173170,82800,90365,Immigrants,2011 to 2021
Calgary,27865,14575,13285,Non-permanent residents,0
Strathmore,12730,6230,6500,Non-immigrants,0
Strathmore,1250,590,665,Immigrants,0
Strathmore,345,180,170,Immigrants,Before 1980
Strathmore,105,30,70,Immigrants,1980 to 1990
Strathmore,125,65,65,Immigrants,1991 to 2000
Strathmore,260,130,130,Immigrants,2001 to 2010
Strathmore,420,190,230,Immigrants,2011 to 2021
Strathmore,130,70,55,Non-permanent residents,0
Canmore,11705,5735,5970,Non-immigrants,0
Canmore,3265,1660,1605,Immigrants,0
Canmore,645,340,305,Immigrants,Before 1980
Canmore,265,125,135,Immigrants,1980 to 1990
Canmore,350,140,210,Immigrants,1991 to 2000
Canmore,665,380,290,Immigrants,2001 to 2010
Canmore,1340,670,675,Immigrants,2011 to 2021
Canmore,550,265,280,Non-permanent residents,0
Red Deer,80665,39980,40690,Non-immigrants,0
Red Deer,16540,7920,8615,Immigrants,0
Red Deer,1770,795,980,Immigrants,Before 1980
Red Deer,1170,590,585,Immigrants,1980 to 1990
Red Deer,1390,705,685,Immigrants,1991 to 2000
Red Deer,3870,1840,2030,Immigrants,2001 to 2010
Red Deer,8325,3995,4340,Immigrants,2011 to 2021
Red Deer,840,395,445,Non-permanent residents,0
Sylvan Lake,15285,7620,7670,Non-immigrants,0
Sylvan Lake,1070,495,575,Immigrants,0
Sylvan Lake,235,100,135,Immigrants,Before 1980
Sylvan Lake,95,35,55,Immigrants,1980 to 1990
Sylvan Lake,125,65,55,Immigrants,1991 to 2000
Sylvan Lake,250,95,150,Immigrants,2001 to 2010
Sylvan Lake,365,195,175,Immigrants,2011 to 2021
Sylvan Lake,80,30,50,Non-permanent residents,0
Lacombe,11410,5570,5840,Non-immigrants,0
Lacombe,1555,700,855,Immigrants,0
Lacombe,290,125,165,Immigrants,Before 1980
Lacombe,125,45,80,Immigrants,1980 to 1990
Lacombe,140,80,65,Immigrants,1991 to 2000
Lacombe,270,120,150,Immigrants,2001 to 2010
Lacombe,725,330,395,Immigrants,2011 to 2021
Lacombe,100,45,60,Non-permanent residents,0
Camrose,16145,7770,8380,Non-immigrants,0
Camrose,1860,885,980,Immigrants,0
Camrose,350,200,155,Immigrants,Before 1980
Camrose,110,45,65,Immigrants,1980 to 1990
Camrose,150,55,90,Immigrants,1991 to 2000
Camrose,225,95,135,Immigrants,2001 to 2010
Camrose,1020,490,530,Immigrants,2011 to 2021
Camrose,180,110,65,Non-permanent residents,0
Edmonton,1008260,506940,501320,Non-immigrants,0
Edmonton,363910,175900,188010,Immigrants,0
Edmonton,47660,23575,24085,Immigrants,Before 1980
Edmonton,36605,17975,18630,Immigrants,1980 to 1990
Edmonton,45840,21345,24490,Immigrants,1991 to 2000
Edmonton,84305,40770,43535,Immigrants,2001 to 2010
Edmonton,149505,72235,77270,Immigrants,2011 to 2021
Edmonton,25580,13470,12110,Non-permanent residents,0
Lloydminster,31030,15715,15315,Non-immigrants,0
Lloydminster,4620,2190,2430,Immigrants,0
Lloydminster,225,105,120,Immigrants,Before 1980
Lloydminster,145,60,85,Immigrants,1980 to 1990
Lloydminster,225,90,130,Immigrants,1991 to 2000
Lloydminster,1120,570,555,Immigrants,2001 to 2010
Lloydminster,2910,1365,1540,Immigrants,2011 to 2021
Lloydminster,270,155,115,Non-permanent residents,0
Lloydminster (Saskatchewan part),14120,7230,6895,Non-immigrants,0
Lloydminster (Saskatchewan part),2480,1180,1300,Immigrants,0
Lloydminster (Saskatchewan part),80,35,50,Immigrants,Before 1980
Lloydminster (Saskatchewan part),35,15,25,Immigrants,1980 to 1990
Lloydminster (Saskatchewan part),45,20,25,Immigrants,1991 to 2000
Lloydminster (Saskatchewan part),580,290,290,Immigrants,2001 to 2010
Lloydminster (Saskatchewan part),1735,830,910,Immigrants,2011 to 2021
Lloydminster (Saskatchewan part),90,45,45,Non-permanent residents,0
Lloydminster (Alberta part),16905,8490,8420,Non-immigrants,0
Lloydminster (Alberta part),2140,1010,1125,Immigrants,0
Lloydminster (Alberta part),145,70,75,Immigrants,Before 1980
Lloydminster (Alberta part),105,45,55,Immigrants,1980 to 1990
Lloydminster (Alberta part),175,75,100,Immigrants,1991 to 2000
Lloydminster (Alberta part),540,280,260,Immigrants,2001 to 2010
Lloydminster (Alberta part),1170,540,635,Immigrants,2011 to 2021
Lloydminster (Alberta part),185,105,75,Non-permanent residents,0
Grande Prairie,53815,27505,26305,Non-immigrants,0
Grande Prairie,8360,3960,4400,Immigrants,0
Grande Prairie,710,365,345,Immigrants,Before 1980
Grande Prairie,455,215,240,Immigrants,1980 to 1990
Grande Prairie,810,430,385,Immigrants,1991 to 2000
Grande Prairie,1510,685,830,Immigrants,2001 to 2010
Grande Prairie,4865,2270,2600,Immigrants,2011 to 2021
Grande Prairie,1000,510,490,Non-permanent residents,0
Wood Buffalo,57005,30340,26665,Non-immigrants,0
Wood Buffalo,15425,7735,7685,Immigrants,0
Wood Buffalo,650,405,245,Immigrants,Before 1980
Wood Buffalo,615,330,280,Immigrants,1980 to 1990
Wood Buffalo,1550,905,645,Immigrants,1991 to 2000
Wood Buffalo,4530,2325,2210,Immigrants,2001 to 2010
Wood Buffalo,8080,3760,4310,Immigrants,2011 to 2021
Wood Buffalo,865,435,430,Non-permanent residents,0
Wetaskiwin,10420,5040,5380,Non-immigrants,0
